"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
221347,"November 15, 2014",Missouri,Springfield,"2555 N. Glenstone",4,0,0,0,1,N/A
211348,"October 26, 2014",Kentucky,Cadiz,"1410 Old Dover Road",4,0,0,0,1,N/A
210363,"October 24, 2014",Washington,Marysville,"5611 108th St NE",4,1,1,0,0,N/A
204254,"October 8, 2014","New York",Guilderland,"1846 Western Ave",4,0,0,0,0,N/A
192851,"September 18, 2014",Florida,Bell,"2550 NW 29th Terrace",7,0,1,0,0,N/A
168844,"August 3, 2014",Virginia,Culpeper,"14458 Rixeyville Rd",5,0,0,0,0,N/A
164513,"July 26, 2014",Maine,Saco,"35 Water Street",4,0,1,0,0,N/A
156670,"July 9, 2014",Texas,Spring,"711 Leaflet Ln",6,1,0,0,1,N/A
144524,"June 8, 2014",Florida,"Fort Myers","17372 Phlox Drive",4,0,1,0,0,N/A
108649,"February 20, 2014",California,Alturas,"300 W 1st St",4,1,0,0,1,N/A
108691,"February 20, 2014",Indiana,Indianapolis,"3200 block of S Parker Ave",4,0,0,0,1,N/A
140117,"January 30, 2014",Texas,Cypress,"14015 Fosters Creek Dr",4,0,0,0,1,N/A
97365,"January 16, 2014",Utah,"Spanish Fork","37 N 630 West",4,0,1,0,0,N/A
495332,"December 1, 2013",Kansas,Topeka,"1629 SW Central Park",4,0,0,0,0,N/A
494155,"November 23, 2013",Oklahoma,Tulsa,"Pine Street and Harvard Avenue",4,1,0,0,0,N/A
493109,"November 5, 2013",Florida,Jacksonville,"1107 Randolph St",4,0,0,0,0,N/A
492914,"October 29, 2013","South Carolina",Greenwood,"2007 Callison Hwy",5,0,1,0,0,N/A
2930352,"October 28, 2013",Texas,Terrell,"309 Stallings St",5,0,0,0,0,N/A
492325,"October 26, 2013",Arizona,Phoenix,"4579 N 17th Ave",4,0,1,0,0,N/A
480981,"October 9, 2013",Texas,Paris,"435 NE 6th Street",4,0,0,0,0,N/A
480605,"September 20, 2013",Texas,Rice,"703 NW 0149",4,0,1,0,0,N/A
480366,"September 16, 2013","District of Columbia","Washington Navy Yard","1336 Isaac Hull Ave",12,3,1,0,0,N/A
479747,"September 12, 2013",Tennessee,"Crab Orchard","US 70 and Renegade Mountain Pkwy",4,0,0,0,1,N/A
492001,"August 14, 2013",Oklahoma,"Oklahoma City","4601 SE 79th St",4,0,0,0,1,N/A
491698,"August 7, 2013",Texas,Dallas,"7106 Long Canyon Trail",4,4,0,0,1,N/A
491265,"July 26, 2013",Florida,Hialeah,"1485 W 46th St",6,0,1,0,0,N/A
491253,"July 26, 2013","West Virginia",Clarksburg,"743 Locust Avenue",4,0,0,0,1,N/A
489581,"June 7, 2013",California,"Santa Monica","2036 Yorkshire Ave",5,1,1,0,0,N/A
486142,"May 11, 2013",Indiana,Columbus,"2634 E Main Cross St",4,0,0,0,1,N/A
485811,"April 24, 2013",Illinois,Manchester,"East Street",5,1,1,0,0,N/A
484333,"April 21, 2013",Washington,"Federal Way","33311 18th Ln S",4,0,1,0,0,N/A
484317,"April 18, 2013",Ohio,Akron,"20 Kimlyn Circle",4,0,0,0,1,N/A
482856,"March 13, 2013","New York",Mohawk,"17 W Main St",4,2,1,0,0,N/A
479363,"January 19, 2013","New Mexico",Albuquerque,"2806 Long Lane",5,0,0,0,1,N/A
478948,"January 7, 2013",Oklahoma,Tulsa,"6000 block of South Owasso",4,0,0,0,2,N/A
1119336,"December 14, 2012",Connecticut,"Sandy Hook","12 Dickenson Dr",27,2,1,0,0,N/A
2807948,"September 27, 2012",Minnesota,Minneapolis,"2322 Chestnut Ave",6,2,1,0,0,N/A
2807879,"August 5, 2012",Wisconsin,"Oak Creek","7512 S Howell Ave",7,3,1,0,0,N/A
2805505,"July 20, 2012",Colorado,Aurora,"14300 E Alameda Ave",11,58,0,0,1,N/A
2807354,"May 30, 2012",Washington,Seattle,"5828 Roosevelt Way NE",5,1,1,0,0,N/A
2807241,"April 2, 2012",California,Oakland,"7850 Edgewater Dr",7,3,0,0,1,N/A
2930956,"February 21, 2012",Georgia,Norcross,"6005 Buford Hwy",4,0,1,0,0,N/A
3031116,"January 29, 2012",Alabama,Birmingham,"3113 Avenue S",5,0,0,0,2,N/A
